2024-11-27 11:33:26,523 - sd_express_tester - INFO - ==================================================
2024-11-27 11:33:26,523 - sd_express_tester - INFO - Application Started
2024-11-27 11:33:26,523 - sd_express_tester - INFO - Log file: C:\github\sd_express_tester\logs\sd_express_tester_20241127_113326.log
2024-11-27 11:33:26,523 - sd_express_tester - INFO - Log level: INFO
2024-11-27 11:33:26,523 - sd_express_tester - INFO - ==================================================
2024-11-27 11:33:26,556 - utils.config - INFO - Configuration file loaded: config.yaml
2024-11-27 11:33:26,556 - sd_express_tester - INFO - Log level updated to: INFO
2024-11-27 11:33:26,556 - utils.config - INFO - Language set to: zh_CN
2024-11-27 11:33:26,569 - sd_express_tester - INFO - Starting SD Express Test Tool
2024-11-27 11:33:26,569 - sd_express_tester - INFO - Running in GUI mode
2024-11-27 11:33:26,577 - gui.main_window - INFO - Initializing main window
2024-11-27 11:33:26,581 - core.controller - INFO - Initializing SD Controller
2024-11-27 11:33:26,585 - core.controller - INFO - Initializing SD Controller
2024-11-27 11:33:26,593 - gui.main_window - INFO - Card detection timer started
2024-11-27 11:34:24,852 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:34:25,854 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:34:26,856 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:34:27,850 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:34:28,870 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:34:29,858 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:34:30,850 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:34:31,847 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:34:32,861 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:34:33,857 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:34:34,849 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:34:35,851 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:34:36,855 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:34:37,865 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:34:38,858 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:34:39,850 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:34:40,847 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:34:41,855 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:34:42,853 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:34:43,853 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:34:44,855 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:34:45,851 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:34:46,855 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:34:47,854 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:34:48,853 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:34:49,854 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:34:50,851 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:34:51,859 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:34:52,868 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
2024-11-27 11:34:53,853 - core.card_ops - INFO - Scan complete, found drives: ['E:\\']
